id;secteur;sous_secteur;code;nom;version;date_debut;date_fin
BAT-TH-140vA28-1;BAT;TH;BAT-TH-140;Pompe à chaleur à absorption de type air/eau ou eau/eau;A28-1;2018-12-06;
BAT-TH-141vA28-1;BAT;TH;BAT-TH-141;Pompe à chaleur à moteur gaz de type air/eau;A28-1;2019-07-31;
BAT-TH-142vA54-3;BAT;TH;BAT-TH-142;Système de déstratification d'air;A54-3;2015-01-01;
BAT-TH-143vA16-1;BAT;TH;BAT-TH-143;Ventilo-convecteurs haute performance;A16-1;2015-01-01;
BAT-TH-145vA23-1;BAT;TH;BAT-TH-145;Système de régulation sur un groupe de production de froid permettant d'avoir une basse pression flottante (France métropolitaine);A23-1;2016-10-20;
BAT-TH-146vA54-4;BAT;TH;BAT-TH-146;Isolation d'un réseau hydraulique de chauffage ou d'eau chaude sanitaire;A54-4;2015-01-01;
BAT-TH-153vA28-1;BAT;TH;BAT-TH-153;Système de confinement des allées froides et allées chaudes dans un Data Center;A28-1;2018-12-06;
BAT-TH-154vA28-1;BAT;TH;BAT-TH-154;Récupération instantanée de chaleur sur eaux grises;A28-1;2018-12-06;
BAT-TH-155vA54-2;BAT;TH;BAT-TH-155;Isolation de points singuliers d'un réseau;A54-2;2015-01-01;
BAT-TH-156vA31-1;BAT;TH;BAT-TH-156;Freecooling par eau de refroidissement en substitution d'un groupe froid pour la climatisation;A31-1;2019-07-31;
BAT-TH-157vA50-2;BAT;TH;BAT-TH-157;Chaudière biomasse collective;A50-2;2015-01-01;
BAT-TH-158vA62-3;BAT;TH;BAT-TH-158;Pompe à chaleur réversible de type air/air;A62-3;2025-01-01;
BAT-TH-159vA40-1;BAT;TH;BAT-TH-159;Raccordement d'un bâtiment tertiaire à un réseau de froid;A40-1;2015-01-01;
BAT-TH-160vA54-1;BAT;TH;BAT-TH-160;Vannes de régulation étanches à servomoteurs économes (France métropolitaine);A54-1;2023-09-15;2024-09-01
BAT-TH-161vA62-1;BAT;TH;BAT-TH-161;Maintien en température des groupes électrogènes de secours par pompe à chaleur de type air/eau;A62-1;2024-08-31;
IND-BA-110vA20-1;IND;BA;IND-BA-110;Dé-stratificateur ou brasseur d'air;A20-1;2016-02-08;
IND-BA-112vA17-1;IND;BA;IND-BA-112;Système de récupération de chaleur sur une tour aéroréfrigérante;A17-1;2015-01-01;
IND-BA-113vA26-1;IND;BA;IND-BA-113;Lanterneaux d'éclairage zénithal (France Métropolitaine);A26-1;2017-07-26;
IND-BA-114vA15-1;IND;BA;IND-BA-114;Conduits de lumière naturelle;A15-1;2015-01-01;
IND-BA-115vA19-2;IND;BA;IND-BA-115;Tubes à LED à éclairage hémisphérique;A19-2;2015-01-01;2019-04-01
IND-BA-116vA40-2;IND;BA;IND-BA-116;Luminaires à modules LED;A40-2;2016-12-14;
IND-BA-117vA27-1;IND;BA;IND-BA-117;Chauffage décentralisé performant;A27-1;2017-12-22;
IND-EN-101vA23-1;IND;EN;IND-EN-101;Isolation des murs (France d'outre-mer);A23-1;2016-10-20;
IND-EN-102vA64-3;IND;EN;IND-EN-102;Isolation de combles ou de toitures (France d'outre-mer);A64-3;2025-01-01;
IND-UT-102vA19-2;IND;UT;IND-UT-102;Système de variation électronique de vitesse sur un moteur asynchrone;A19-2;2015-01-01;
IND-UT-103vA17-1;IND;UT;IND-UT-103;Système de récupération de chaleur sur un compresseur d'air;A17-1;2015-01-01;
IND-UT-104vA14-1;IND;UT;IND-UT-104;Économiseur sur les effluents gazeux d'une chaudière de production de vapeur;A14-1;2015-01-01;
IND-UT-105vA14-1;IND;UT;IND-UT-105;Brûleur micromodulant sur chaudière industrielle;A14-1;2015-01-01;
IND-UT-112vA14-1;IND;UT;IND-UT-112;Moteur haut rendement de classe IE2;A14-1;2015-01-01;2022-04-01
IND-UT-113vA14-1;IND;UT;IND-UT-113;Système de condensation frigorifique à haute efficacité;A14-1;2015-01-01;
IND-UT-114vA24-1;IND;UT;IND-UT-114;Moto-variateur synchrone à aimants permanents ou à reluctance;A24-1;2016-12-14;
IND-UT-115vA15-1;IND;UT;IND-UT-115;Système de régulation sur un groupe de production de froid permettant d'avoir une basse pression flottante;A15-1;2015-01-01;
IND-UT-116vA14-1;IND;UT;IND-UT-116;Système de régulation sur un groupe de production de froid permettant d'avoir une haute pression flottante;A14-1;2015-01-01;
IND-UT-117vA35-1;IND;UT;IND-UT-117;Système de récupération de chaleur sur un groupe de production de froid;A35-1;2020-12-18;
IND-UT-118vA14-1;IND;UT;IND-UT-118;Brûleur avec dispositif de récupération de chaleur sur un four industriel;A14-1;2015-01-01;
IND-UT-120vA14-1;IND;UT;IND-UT-120;Compresseur d'air basse pression à vis ou centrifuge;A14-1;2015-01-01;
IND-UT-121vA54-4;IND;UT;IND-UT-121;Matelas pour l'isolation de points singuliers;A54-4;2015-01-01;
IND-UT-122vA14-1;IND;UT;IND-UT-122;Sécheur d'air comprimé à adsorption utilisant un apport calorifique pour sa régénération;A14-1;2015-01-01;
IND-UT-123vA14-1;IND;UT;IND-UT-123;Moteur premium de classe IE3;A14-1;2015-01-01;2022-09-01
IND-UT-124vA14-1;IND;UT;IND-UT-124;Séquenceur électronique pour le pilotage d'une centrale de production d'air comprimé;A14-1;2015-01-01;
IND-UT-125vA14-1;IND;UT;IND-UT-125;Traitement d'eau performant sur chaudière de production de vapeur;A14-1;2015-01-01;
IND-UT-127vA25-1;IND;UT;IND-UT-127;Système de transmission performant;A25-1;2017-03-02;
IND-UT-129vA32-1;IND;UT;IND-UT-129;Presse à injecter tout électrique ou hybride;A32-1;2020-05-04;
IND-UT-130vA19-1;IND;UT;IND-UT-130;Condenseur sur les effluents gazeux d'une chaudière de production de vapeur;A19-1;2015-01-01;
